,State,Party
0,LA,Republican
1,NC,Democratic
2,AL,Republican
3,CA,Democratic
4,GA,Republican
5,TX,Democratic
6,MI,Independent
7,NV,Republican
8,ND,Republican
9,TX,Republican
10,IA,Democratic
11,TX,Republican
12,NE,Republican
13,IN,Republican
14,OH,Republican
15,IN,Republican
16,KY,Republican
17,CA,Democratic
18,CA,Democratic
19,OH,Democratic
20,CA,Democratic
21,MI,Republican
22,VA,Democratic
23,AZ,Republican
24,FL,Republican
25,GA,Democratic
26,NC,Republican
27,UT,Republican
28,OR,Democratic
29,DE,Democratic
30,OR,Democratic
31,IL,Republican
32,PA,Democratic
33,TX,Republican
34,NY,Democratic
35,AL,Republican
36,IN,Republican
37,MD,Democratic
38,CA,Democratic
39,FL,Republican
40,CO,Republican
41,IN,Republican
42,NC,Republican
43,TN,Republican
44,TX,Republican
45,IL,Democratic
46,NC,Democratic
47,AL,Republican
48,CA,Republican
49,CA,Democratic
50,CA,Democratic
51,IN,Democratic
52,GA,Republican
53,TX,Republican
54,PA,Democratic
55,HI,Democratic
56,IL,Democratic
57,FL,Democratic
58,TX,Democratic
59,OH,Republican
60,WY,Republican
61,CA,Democratic
62,RI,Democratic
63,CA,Democratic
64,MA,Democratic
65,NY,Democratic
66,MO,Democratic
67,MO,Democratic
68,VA,Republican
69,TX,Republican
70,SC,Democratic
71,TN,Democratic
72,OK,Republican
73,GA,Republican
74,KY,Republican
75,TX,Republican
76,VA,Democratic
77,CA,Republican
78,TN,Democratic
79,CA,Democratic
80,CA,Democratic
81,CT,Democratic
82,CA,Democratic
83,MN,Democratic
84,AR,Republican
85,TX,Republican
86,FL,Democratic
87,CO,Democratic
88,TX,Democratic
89,SC,Democratic
90,UT,Republican
91,KS,Democratic
92,OH,Republican
93,CA,Democratic
94,IL,Democratic
95,IL,Republican
96,PA,Democratic
97,OR,Democratic
98,CO,Democratic
99,CT,Democratic
100,WA,Democratic
101,NY,Democratic
102,FL,Democratic
103,CA,Democratic
104,TN,Republican
105,FL,Democratic
106,FL,Republican
107,MI,Democratic
108,TX,Democratic
109,PA,Democratic
110,SC,Republican
111,FL,Republican
112,MN,Republican
113,NY,Democratic
114,TX,Democratic
115,CA,Democratic
116,NY,Democratic
117,KS,Republican
118,PA,Democratic
119,GA,Republican
120,IA,Democratic
121,PA,Republican
122,TN,Republican
123,TX,Democratic
124,TX,Republican
125,NE,Republican
126,IL,Democratic
127,NC,Republican
128,FL,Democratic
129,OH,Democratic
130,ID,Republican
131,HI,Democratic
132,FL,Republican
133,WI,Republican
134,AZ,Democratic
135,CA,Democratic
136,CA,Republican
137,IL,Democratic
138,TX,Democratic
139,MT,Republican
140,OH,Republican
141,TX,Republican
142,ME,Democratic
143,CA,Democratic
144,OH,Republican
145,TX,Democratic
146,PR,Republican
147,TX,Republican
148,AZ,Republican
149,NJ,Democratic
150,TX,Republican
151,GA,Republican
152,LA,Republican
153,MO,Republican
154,TN,Republican
155,TX,Democratic
156,VA,Republican
157,AZ,Democratic
158,WI,Republican
159,MS,Republican
160,KY,Republican
161,NM,Democratic
162,MN,Republican
163,GA,Democratic
164,CA,Democratic
165,MD,Republican
166,MO,Republican
167,FL,Democratic
168,CT,Democratic
169,WA,Democratic
170,OK,Republican
171,WA,Republican
172,GA,Republican
173,LA,Republican
174,NY,Democratic
175,AR,Republican
176,CT,Democratic
177,NC,Republican
178,IN,Republican
179,OK,Democratic
180,NV,Democratic
181,PA,Democratic
182,MD,Democratic
183,NC,Republican
184,CA,Democratic
185,MI,Republican
186,CA,Republican
187,TX,Republican
188,TX,Democratic
189,NY,Republican
190,WA,Democratic
191,NY,Democratic
192,GA,Democratic
193,LA,Republican
194,OH,Republican
195,SD,Republican
196,TX,Democratic
197,OH,Republican
198,OH,Republican
199,PA,Republican
200,OH,Democratic
201,NY,Republican
202,MA,Democratic
203,PA,Republican
204,IL,Democratic
205,MS,Republican
206,PA,Republican
207,MA,Democratic
208,CA,Democratic
209,MI,Democratic
210,WA,Democratic
211,NJ,Democratic
212,WI,Democratic
213,IA,Republican
214,NY,Republican
215,IL,Republican
216,AZ,Democratic
217,IL,Democratic
218,NH,Democratic
219,TN,Republican
220,IL,Republican
221,CA,Republican
222,PA,Democratic
223,CO,Republican
224,RI,Democratic
225,WA,Democratic
226,CT,Democratic
227,OH,Republican
228,MI,Democratic
229,FL,Democratic
230,CA,Democratic
231,NV,Democratic
232,AZ,Republican
233,CA,Democratic
234,MI,Democratic
235,GA,Democratic
236,CA,Democratic
237,IL,Democratic
238,IA,Democratic
239,CA,Democratic
240,MO,Republican
241,GA,Republican
242,CA,Democratic
243,NY,Democratic
244,OK,Republican
245,MO,Republican
246,NM,Democratic
247,VA,Democratic
248,MA,Democratic
249,NJ,Democratic
250,NY,Democratic
251,NY,Democratic
252,TX,Republican
253,KS,Republican
254,KY,Republican
255,FL,Republican
256,CA,Democratic
257,UT,Democratic
258,GA,Democratic
259,CA,Republican
260,TX,Republican
261,CA,Republican
262,MN,Democratic
263,VA,Democratic
264,MA,Democratic
265,NC,Republican
266,WV,Republican
267,CA,Democratic
268,NC,Republican
269,NY,Democratic
270,NY,Democratic
271,PA,Republican
272,MD,Democratic
273,WV,Republican
274,MI,Independent
275,MI,Republican
276,WV,Republican
277,WI,Democratic
278,NY,Democratic
279,MA,Democratic
280,FL,Democratic
281,OK,Republican
282,FL,Democratic
283,NC,Republican
284,NY,Democratic
285,CA,Democratic
286,MA,Democratic
287,CO,Democratic
288,WA,Republican
289,NJ,Democratic
290,SC,Republican
291,DC,Democratic
292,CA,Republican
293,AZ,Democratic
294,NY,Democratic
295,TX,Republican
296,MN,Democratic
297,MS,Republican
298,NJ,Democratic
299,AL,Republican
300,CA,Democratic
301,NH,Democratic
302,NJ,Democratic
303,NJ,Democratic
304,CA,Democratic
305,IN,Republican
306,CO,Democratic
307,PA,Republican
308,CA,Democratic
309,MN,Democratic
310,MN,Democratic
311,ME,Democratic
312,VI,Democratic
313,WI,Democratic
314,CA,Democratic
315,FL,Republican
316,MA,Democratic
317,NC,Democratic
318,IL,Democratic
319,AS,Republican
320,MD,Democratic
321,TX,Republican
322,NY,Republican
323,PA,Republican
324,NY,Democratic
325,SC,Republican
326,LA,Democratic
327,VA,Republican
328,AL,Republican
329,WA,Republican
330,TN,Republican
331,AL,Republican
332,KY,Republican
333,FL,Republican
334,NY,Democratic
335,TN,Republican
336,CA,Democratic
337,NC,Republican
338,TX,Republican
339,CA,Democratic
340,CA,Democratic
341,MD,Democratic
342,IL,Democratic
343,FL,Republican
344,OH,Democratic
345,MP,Democratic
346,GU,Democratic
347,CA,Democratic
348,MD,Democratic
349,LA,Republican
350,PA,Democratic
351,IL,Democratic
352,CA,Democratic
353,IL,Democratic
354,OR,Democratic
355,WA,Democratic
356,AZ,Republican
357,VA,Democratic
358,GA,Republican
359,GA,Democratic
360,WI,Republican
361,NY,Democratic
362,AL,Democratic
363,FL,Democratic
364,CA,Democratic
365,NJ,Democratic
366,IL,Republican
367,ID,Republican
368,NJ,Democratic
369,MI,Democratic
370,MO,Republican
371,NE,Republican
372,NJ,Republican
373,WA,Democratic
374,PA,Republican
375,FL,Democratic
376,VA,Democratic
377,FL,Republican
378,CA,Democratic
379,AZ,Democratic
380,MN,Republican
381,NY,Republican
382,WI,Republican
383,FL,Republican
384,MI,Democratic
385,UT,Republican
386,OH,Republican
387,NY,Democratic
388,CA,Democratic
389,CA,Democratic
390,TX,Republican
391,CA,Democratic
392,MS,Democratic
393,PA,Republican
394,TX,Republican
395,WI,Republican
396,SC,Republican
397,CO,Republican
398,NV,Democratic
399,MI,Democratic
400,NY,Democratic
401,CA,Democratic
402,NM,Democratic
403,MA,Democratic
404,MD,Democratic
405,OH,Republican
406,IL,Democratic
407,MI,Republican
408,NJ,Republican
409,CA,Democratic
410,TX,Democratic
411,TX,Democratic
412,NY,Democratic
413,IN,Democratic
414,MO,Republican
415,MI,Republican
416,OR,Republican
417,NC,Republican
418,IN,Republican
419,FL,Republican
420,FL,Democratic
421,CA,Democratic
422,KS,Republican
423,NJ,Democratic
424,TX,Republican
425,FL,Republican
426,VT,Democratic
427,OH,Republican
428,AR,Republican
429,VA,Democratic
430,PA,Democratic
431,TX,Republican
432,FL,Democratic
433,SC,Republican
434,VA,Republican
435,AR,Republican
436,GA,Republican
437,TX,Republican
438,KY,Democratic
439,FL,Republican
440,AK,Republican
441,NY,Republican
